route_id,vehicle_type,hour_of_day,day_of_week,distance_km,actual_travel_time_minutes
3,bus,1,friday,0.93,2.9
3,bus,10,wednesday,1.87,7.23
2,jeepney,12,tuesday,5.47,18.84
1,e-jeep,0,thursday,5.08,12.07
1,jeepney,17,tuesday,4.2,27.04
1,e-jeep,7,wednesday,2.49,13.72
3,bus,9,friday,7.88,54.63
1,bus,21,sunday,4.57,14.87
1,jeepney,8,monday,7.15,41.72
2,jeepney,9,friday,1.92,11.94
3,bus,8,friday,4.06,27.73
1,jeepney,20,thursday,6.69,24.05
1,e-jeep,20,wednesday,1.54,4.66
2,bus,17,monday,1.16,7.88
1,bus,17,monday,6.73,48.31
2,jeepney,4,monday,2.67,6.69
2,jeepney,6,saturday,2.22,6.87
2,bus,19,saturday,1.49,8.82
1,jeepney,13,monday,1.68,5.24
3,e-jeep,23,sunday,2.21,4.88
1,bus,12,sunday,0.6,2.1
2,jeepney,11,wednesday,6.62,20.83
1,jeepney,21,tuesday,3.37,11.65
2,jeepney,11,saturday,4.22,11.89
2,bus,0,monday,7.05,23.46
2,bus,1,monday,4.89,16.04
2,e-jeep,19,friday,1.19,6.1
2,jeepney,1,saturday,3.66,8.46
3,bus,23,saturday,5.98,17.49
1,e-jeep,21,wednesday,5.1,14.91
3,jeepney,9,friday,2.68,16.48
3,e-jeep,9,friday,1.28,7.07
3,e-jeep,23,tuesday,5.04,12.49
1,bus,9,wednesday,1.92,13.35
3,bus,10,thursday,3.7,14.4
2,bus,23,tuesday,5.37,17.8
3,bus,19,wednesday,1.02,6.92
3,jeepney,9,tuesday,6.51,41.81
1,jeepney,15,friday,6.84,24.47
3,e-jeep,18,tuesday,5.83,32.4
1,e-jeep,4,saturday,5.59,10.98
2,jeepney,7,tuesday,6.49,38.14
1,e-jeep,17,tuesday,7.36,42.73
2,jeepney,21,friday,7.91,25.97
3,e-jeep,23,friday,3.59,8.09
1,e-jeep,23,sunday,3.95,8.57
3,jeepney,8,sunday,6.29,33.23
2,jeepney,14,monday,5.79,20.16
2,e-jeep,17,monday,1.37,7.81
1,bus,22,tuesday,0.79,2.57
2,bus,13,monday,1.89,7.66
3,bus,0,sunday,7.08,19.47
1,e-jeep,11,wednesday,6.1,17.32
3,e-jeep,23,saturday,4.51,9.26
2,jeepney,7,wednesday,3.66,23.99
3,e-jeep,21,sunday,3.41,9.4
1,e-jeep,19,friday,0.51,2.83
3,bus,0,monday,5.25,17.84
1,e-jeep,1,wednesday,3.22,8.1
2,e-jeep,12,wednesday,6.09,17.35
1,e-jeep,15,monday,6.07,19.62
1,e-jeep,20,monday,6.32,18.51
1,jeepney,6,sunday,0.46,1.41
2,jeepney,21,monday,4.64,16.2
2,bus,11,tuesday,4.97,18.51
1,bus,5,wednesday,1.13,3.91
3,e-jeep,21,thursday,3.35,9.72
3,jeepney,22,sunday,5.13,12.7
3,e-jeep,19,sunday,1.23,5.41
2,jeepney,17,thursday,5.39,35.09
2,bus,0,sunday,3.53,9.84
2,e-jeep,20,sunday,3.84,10.61
3,jeepney,16,saturday,2.38,11.95
2,bus,14,thursday,6.66,26.25
1,e-jeep,2,wednesday,7.09,17.74
3,e-jeep,19,saturday,3.22,16.52
1,e-jeep,15,tuesday,3.03,9.46
3,e-jeep,22,wednesday,4.58,10.96
1,jeepney,7,saturday,3.43,17.92
3,jeepney,15,saturday,5.78,16.89
1,jeepney,9,tuesday,3.41,21.55
3,bus,11,thursday,4.56,18.71
3,bus,10,wednesday,5.71,23.71
1,e-jeep,3,saturday,1.78,3.96
3,bus,5,tuesday,1.97,6.32
3,bus,16,friday,2.48,19.27
2,jeepney,7,wednesday,1.68,11.04
1,bus,8,monday,7.8,56.25
1,bus,20,sunday,6.1,22.66
3,jeepney,9,thursday,3.99,24.81
2,jeepney,15,monday,6.63,22.46
3,jeepney,20,saturday,0.71,2.18
2,bus,2,tuesday,1.21,3.71
3,bus,19,tuesday,6.27,46.49
2,e-jeep,18,thursday,2.65,14.18
3,bus,3,sunday,1.9,5.54
1,bus,5,tuesday,1.64,5.63
2,jeepney,14,saturday,4.87,14.6
2,jeepney,22,wednesday,5.71,15.34
1,bus,8,sunday,6.39,39.84
2,jeepney,3,friday,2.03,5.74
1,e-jeep,2,monday,1.58,3.91
3,bus,9,thursday,1.26,8.9
2,bus,8,friday,4.46,32.76
1,bus,13,saturday,2.78,10.07
1,jeepney,21,sunday,6.93,19.81
3,jeepney,8,friday,0.61,3.55
3,e-jeep,20,thursday,7.35,23.23
2,bus,20,sunday,4.09,15.22
2,e-jeep,10,wednesday,5.46,15.49
2,e-jeep,22,thursday,2.52,5.65
1,bus,14,monday,2.72,11.2
3,e-jeep,0,saturday,6.99,14.68
1,jeepney,16,wednesday,5.09,30.86
1,e-jeep,6,wednesday,4.53,12.72
3,e-jeep,15,monday,0.52,1.53
3,jeepney,5,wednesday,4.54,12.01
1,jeepney,3,thursday,7.59,19.77
2,jeepney,22,wednesday,4.22,11.68
2,e-jeep,7,thursday,4.54,25.23
3,bus,23,tuesday,6.95,23.07
2,e-jeep,16,wednesday,6.62,37.41
3,e-jeep,18,saturday,4.07,20.45
2,bus,11,wednesday,4.55,18.07
2,e-jeep,6,saturday,2.14,5.69
1,e-jeep,10,saturday,3.94,9.64
2,e-jeep,21,sunday,6.62,16.04
1,e-jeep,4,friday,7.73,19.06
2,jeepney,3,friday,7.31,21.13
2,jeepney,20,tuesday,0.88,2.81
2,e-jeep,19,saturday,3.36,17.08
3,e-jeep,17,thursday,7.65,40.9
3,e-jeep,1,friday,0.83,1.95
1,e-jeep,23,monday,3.64,9.34
3,bus,3,thursday,1.58,5.22
1,jeepney,10,sunday,0.73,2.16
1,e-jeep,7,friday,3.47,18.39
1,jeepney,5,monday,4.99,13.56
1,bus,15,friday,1.4,5.64
2,e-jeep,8,saturday,0.37,1.67
3,e-jeep,17,tuesday,0.87,4.43
2,bus,20,thursday,5.62,22.64
1,e-jeep,12,sunday,4.02,10.95
2,bus,18,wednesday,7.94,59.7
2,bus,8,monday,4.66,32.91
1,bus,19,saturday,4.12,24.47
1,e-jeep,19,sunday,3.01,13.97
2,bus,21,sunday,5.85,19.84
3,jeepney,3,saturday,5.28,12.63
1,e-jeep,18,wednesday,5.94,34.67
2,e-jeep,23,thursday,1.65,4.21
2,bus,16,friday,7.33,50.63
2,e-jeep,9,saturday,7.0,31.66
1,e-jeep,4,sunday,7.74,15.27
3,bus,12,sunday,6.5,23.1
1,e-jeep,8,friday,1.25,6.96
3,bus,8,friday,3.23,22.98
1,e-jeep,21,tuesday,3.93,11.57
2,bus,19,tuesday,5.29,37.66
3,e-jeep,9,saturday,3.44,17.31
2,jeepney,15,monday,1.05,3.3
2,jeepney,14,wednesday,5.46,17.52
2,bus,18,saturday,5.89,35.09
1,bus,15,friday,3.44,12.83
3,jeepney,11,tuesday,3.71,11.54
1,e-jeep,21,wednesday,4.49,12.51
1,e-jeep,12,wednesday,1.76,5.62
1,e-jeep,21,tuesday,5.24,15.48
1,jeepney,10,tuesday,7.91,25.21
1,jeepney,17,tuesday,4.82,27.82
2,jeepney,4,sunday,7.23,18.21
1,jeepney,17,wednesday,6.45,41.69
1,jeepney,0,wednesday,6.38,17.76
1,e-jeep,5,wednesday,0.7,1.62
1,bus,23,monday,3.97,12.16
3,bus,3,thursday,4.18,12.49
3,jeepney,21,friday,2.62,8.54
1,jeepney,15,sunday,3.39,9.54
3,e-jeep,14,monday,7.22,22.29
1,jeepney,4,wednesday,5.11,13.44
2,bus,12,friday,4.39,17.69
2,bus,3,sunday,5.7,15.01
3,bus,23,sunday,1.96,5.5
2,jeepney,10,sunday,3.79,11.14
2,jeepney,13,wednesday,5.42,18.44
3,jeepney,15,monday,1.0,3.57
1,e-jeep,23,saturday,3.17,7.03
3,jeepney,17,friday,2.84,18.32
3,e-jeep,13,sunday,7.35,20.66
3,e-jeep,9,wednesday,1.1,5.99
3,jeepney,15,tuesday,6.82,23.29
2,bus,3,sunday,2.44,7.1
3,e-jeep,19,friday,5.5,29.73
3,bus,22,wednesday,0.52,1.73
2,e-jeep,11,monday,1.7,5.41
2,bus,2,tuesday,6.01,17.88
3,jeepney,16,tuesday,3.2,19.54
2,jeepney,9,saturday,2.8,13.78
1,bus,1,tuesday,1.51,4.74
1,bus,8,thursday,5.4,39.36
2,e-jeep,8,tuesday,6.11,35.52
1,e-jeep,9,saturday,5.52,26.24
2,bus,1,tuesday,3.34,10.52
1,jeepney,9,tuesday,6.21,36.11
2,e-jeep,3,monday,4.13,10.02
2,jeepney,17,saturday,2.07,10.81
2,bus,2,thursday,6.94,23.96
2,jeepney,2,sunday,2.71,6.36
3,e-jeep,20,thursday,2.53,7.71
1,e-jeep,19,thursday,6.71,34.3
2,jeepney,3,tuesday,3.65,9.89
2,jeepney,9,saturday,2.91,15.76
1,jeepney,16,saturday,1.18,6.21
2,e-jeep,23,sunday,5.27,11.66
1,jeepney,8,tuesday,1.64,10.52
1,bus,5,sunday,5.14,14.39
3,bus,14,saturday,7.42,25.55
3,bus,10,sunday,7.78,27.88
1,e-jeep,15,thursday,5.16,14.78
1,bus,11,friday,0.87,3.5
1,jeepney,11,sunday,2.51,7.11
3,jeepney,19,friday,3.26,19.51
1,bus,14,sunday,4.7,17.21
2,bus,16,tuesday,7.67,56.23
3,e-jeep,2,friday,5.28,13.68
2,bus,14,friday,4.33,18.32
2,e-jeep,12,thursday,6.26,18.26
3,jeepney,20,wednesday,0.81,2.89
2,bus,9,wednesday,5.87,41.65
1,bus,10,monday,4.79,20.33
2,e-jeep,20,saturday,5.4,14.98
1,bus,9,friday,3.2,22.24
3,jeepney,22,sunday,7.59,16.3
1,bus,20,saturday,3.56,12.66
2,e-jeep,5,tuesday,2.93,6.74
1,jeepney,4,tuesday,0.89,2.25
3,jeepney,17,sunday,5.99,31.43
2,bus,19,tuesday,4.9,37.72
3,jeepney,19,sunday,7.25,36.9
2,jeepney,11,saturday,5.84,15.74
2,bus,23,sunday,3.76,10.41
2,e-jeep,6,wednesday,5.52,16.38
2,e-jeep,9,sunday,3.24,15.3
1,jeepney,19,tuesday,7.02,45.83
2,e-jeep,17,monday,5.78,31.45
2,jeepney,2,sunday,1.53,3.58
1,bus,13,monday,7.59,31.77
2,e-jeep,0,thursday,0.71,1.7
2,jeepney,2,wednesday,2.03,5.58
3,jeepney,20,wednesday,6.39,22.61
2,e-jeep,22,sunday,1.37,2.77
3,e-jeep,0,monday,0.45,1.13
3,jeepney,23,friday,4.36,12.4
1,e-jeep,9,monday,0.67,3.7
2,bus,2,monday,6.74,21.57
1,bus,20,friday,4.73,18.28
2,e-jeep,0,friday,3.02,7.17
3,jeepney,21,monday,4.33,14.76
3,bus,16,sunday,7.91,49.59
2,e-jeep,1,saturday,3.28,6.99
1,bus,11,sunday,0.82,2.98
3,bus,3,sunday,4.78,12.78
1,jeepney,11,friday,2.91,9.48
2,bus,22,thursday,5.16,15.73
3,jeepney,14,monday,2.56,9.21
1,jeepney,10,wednesday,4.27,13.2
2,bus,8,monday,6.1,46.67
1,e-jeep,20,wednesday,2.4,6.87
2,e-jeep,23,thursday,7.19,17.57
2,jeepney,22,thursday,3.13,7.97
1,e-jeep,23,thursday,0.91,2.15
3,jeepney,9,wednesday,1.09,6.79
2,e-jeep,14,friday,5.83,18.48
2,e-jeep,14,monday,5.9,16.61
2,bus,8,saturday,7.85,46.32
3,jeepney,20,thursday,3.1,9.86
1,bus,0,tuesday,6.83,21.25
1,e-jeep,4,monday,2.12,4.97
2,e-jeep,18,monday,4.96,26.3
2,e-jeep,14,sunday,0.89,2.46
2,e-jeep,10,saturday,2.45,5.95
3,jeepney,5,thursday,4.29,10.73
2,jeepney,8,saturday,3.74,18.26
3,e-jeep,15,tuesday,1.24,3.52
1,e-jeep,22,thursday,7.98,18.25
3,e-jeep,11,saturday,0.8,2.07
1,e-jeep,22,saturday,7.44,15.19
3,e-jeep,7,monday,7.89,41.12
2,jeepney,0,wednesday,4.57,12.45
1,bus,19,monday,0.81,5.99
3,bus,15,friday,3.46,14.04
1,bus,4,wednesday,5.25,16.94
3,bus,11,tuesday,7.06,27.03
3,bus,5,sunday,7.74,21.77
1,jeepney,16,tuesday,2.64,16.91
1,bus,11,friday,7.19,27.25
1,e-jeep,20,friday,2.41,7.09
3,bus,2,friday,5.24,16.53
1,bus,5,saturday,5.11,13.36
3,e-jeep,1,sunday,6.95,15.55
3,bus,8,saturday,1.92,12.0
3,bus,0,thursday,7.15,22.71
2,bus,15,tuesday,6.5,25.25
2,e-jeep,2,saturday,0.76,1.6
2,e-jeep,6,wednesday,4.97,15.37
2,bus,23,sunday,2.96,8.37
3,e-jeep,17,monday,2.76,15.14
2,e-jeep,7,tuesday,1.05,5.93
3,e-jeep,13,tuesday,7.71,21.73
3,e-jeep,23,wednesday,1.76,4.47
2,bus,15,wednesday,4.13,17.68
3,e-jeep,14,tuesday,1.96,6.02
2,jeepney,15,friday,7.09,23.06
2,e-jeep,17,monday,6.82,37.62
3,e-jeep,11,sunday,3.41,9.59
3,jeepney,17,tuesday,3.09,19.38
3,e-jeep,14,sunday,4.53,11.23
3,bus,19,monday,1.29,10.03
2,e-jeep,17,wednesday,6.11,35.01
2,bus,16,monday,0.65,5.02
2,e-jeep,16,thursday,1.45,7.44
2,jeepney,19,wednesday,1.55,8.71
2,bus,18,wednesday,4.21,30.57
3,e-jeep,18,wednesday,3.96,23.41
3,e-jeep,3,thursday,4.79,10.97
3,bus,20,monday,4.9,20.36
3,bus,18,tuesday,5.85,41.98
3,jeepney,20,saturday,5.07,13.93
3,jeepney,7,monday,4.71,27.66
1,jeepney,14,wednesday,3.52,11.9
2,jeepney,16,sunday,5.01,26.52
3,bus,1,saturday,1.36,3.97
3,e-jeep,15,friday,3.2,8.95
3,e-jeep,10,friday,3.03,8.71
3,bus,20,sunday,5.64,19.28
1,jeepney,8,friday,2.6,14.72
2,e-jeep,22,tuesday,5.61,13.49
2,e-jeep,17,sunday,5.86,28.77
3,bus,17,thursday,7.2,53.26
1,e-jeep,9,monday,2.51,13.24
2,e-jeep,20,wednesday,6.05,19.02
2,bus,17,saturday,2.39,16.12
3,bus,7,tuesday,0.69,4.71
3,jeepney,7,monday,1.07,6.67
1,e-jeep,21,sunday,1.36,3.3
2,jeepney,20,thursday,3.98,13.94
2,e-jeep,9,saturday,0.76,3.46
3,bus,7,friday,5.99,41.25
1,jeepney,13,sunday,1.65,4.48
2,e-jeep,5,saturday,7.71,15.06
1,jeepney,9,friday,4.94,28.02
2,e-jeep,14,saturday,4.48,11.7
3,jeepney,14,wednesday,1.78,6.33
3,jeepney,14,saturday,2.28,6.96
2,bus,9,friday,5.49,41.99
3,bus,12,sunday,3.59,12.84
3,e-jeep,3,tuesday,7.86,18.93
1,jeepney,8,thursday,2.11,12.29
2,e-jeep,18,saturday,4.71,23.23
3,e-jeep,7,monday,5.44,29.84
2,jeepney,21,friday,7.41,23.26
3,e-jeep,3,saturday,7.35,15.86
1,bus,7,tuesday,3.98,29.16
2,bus,13,saturday,4.53,15.83
3,bus,6,sunday,2.21,7.39
3,jeepney,14,friday,5.72,20.45
1,bus,1,sunday,4.52,12.57
3,bus,4,tuesday,2.83,9.03
3,jeepney,6,saturday,4.79,14.86
2,bus,1,thursday,1.32,4.28
1,bus,17,thursday,5.48,41.12
2,jeepney,8,sunday,0.32,1.77
1,jeepney,13,wednesday,5.69,18.84
1,jeepney,15,monday,2.51,8.82
3,jeepney,23,saturday,7.72,18.27
2,e-jeep,12,thursday,0.92,2.57
1,bus,20,sunday,2.98,10.93
2,bus,16,tuesday,5.9,44.9
1,jeepney,9,thursday,5.49,33.04
2,bus,7,tuesday,3.85,29.64
3,jeepney,3,monday,6.53,17.64
1,jeepney,6,monday,1.08,3.89
3,bus,22,sunday,0.67,1.8
2,e-jeep,7,friday,1.97,10.15
1,jeepney,16,wednesday,2.1,11.93
2,bus,18,friday,6.25,43.25
2,jeepney,4,saturday,4.31,10.13
1,e-jeep,17,friday,7.07,36.18
3,bus,13,friday,4.12,15.32
3,bus,12,sunday,4.34,14.64
1,e-jeep,9,thursday,1.72,9.33
1,jeepney,9,sunday,5.75,28.89
3,jeepney,13,thursday,4.59,16.25
2,jeepney,6,wednesday,5.28,16.49
1,e-jeep,17,saturday,6.69,34.18
3,e-jeep,19,friday,0.6,3.51
3,bus,21,friday,1.97,8.26
2,e-jeep,0,tuesday,7.52,16.81
3,jeepney,15,tuesday,5.66,18.27
1,e-jeep,17,wednesday,6.27,34.87
3,bus,11,wednesday,2.31,9.22
2,e-jeep,3,sunday,7.86,16.48
1,e-jeep,11,wednesday,3.49,10.37
3,jeepney,4,monday,2.31,5.76
3,bus,13,wednesday,1.47,6.04
3,e-jeep,7,thursday,4.54,23.12
2,e-jeep,15,saturday,5.24,13.69
3,jeepney,11,tuesday,1.38,4.57
3,jeepney,20,monday,4.33,13.69
3,jeepney,1,sunday,0.35,0.86
1,bus,2,saturday,1.46,4.25
2,e-jeep,1,friday,5.21,11.69
3,e-jeep,15,monday,0.35,1.04
1,jeepney,16,saturday,2.42,11.85
3,jeepney,22,saturday,3.62,7.84
1,jeepney,3,friday,1.45,4.07
2,bus,11,wednesday,6.42,27.53
2,e-jeep,18,tuesday,7.92,45.18
1,bus,20,sunday,5.3,19.93
2,e-jeep,12,friday,3.97,11.65
1,bus,2,thursday,6.81,21.3
3,e-jeep,3,friday,7.38,18.51
3,bus,15,wednesday,0.66,2.83
3,e-jeep,18,saturday,0.55,2.44
1,e-jeep,6,friday,1.41,4.02
1,e-jeep,9,tuesday,4.64,25.04
3,e-jeep,17,wednesday,3.26,17.12
3,bus,2,friday,6.04,19.82
2,jeepney,7,sunday,0.89,4.61
3,bus,12,sunday,2.81,9.57
2,e-jeep,7,wednesday,4.56,25.38
3,jeepney,18,saturday,3.23,16.31
1,e-jeep,22,monday,0.93,2.36
3,bus,4,saturday,3.3,9.39
1,jeepney,9,thursday,3.07,19.32
1,jeepney,5,thursday,3.76,9.94
1,e-jeep,0,monday,3.03,7.78
2,bus,12,monday,2.55,10.39
3,jeepney,17,tuesday,4.7,30.07
1,e-jeep,4,wednesday,2.62,6.29
1,jeepney,13,wednesday,3.54,11.83
2,jeepney,8,tuesday,5.85,35.48
1,bus,14,monday,1.34,5.82
2,e-jeep,19,thursday,6.49,36.39
2,e-jeep,20,friday,1.35,4.17
1,bus,15,wednesday,1.67,6.79
2,e-jeep,23,saturday,5.17,10.04
2,jeepney,12,wednesday,6.59,22.35
3,jeepney,6,friday,7.98,28.04
1,bus,23,thursday,7.56,25.37
3,e-jeep,2,sunday,6.83,13.61
2,bus,4,saturday,2.63,7.62
3,jeepney,13,sunday,3.2,9.35
2,bus,18,thursday,4.41,30.04
2,bus,17,monday,6.39,47.54
3,bus,20,monday,1.14,4.75
2,bus,5,saturday,5.02,13.83
3,bus,20,thursday,7.74,31.82
1,e-jeep,0,monday,2.29,5.49
3,bus,18,saturday,4.73,30.17
2,e-jeep,21,friday,5.62,17.86
2,jeepney,3,wednesday,3.5,8.69
3,jeepney,4,wednesday,2.7,7.25
3,jeepney,15,wednesday,3.97,13.37
2,bus,10,monday,2.61,9.95
1,jeepney,10,saturday,1.14,3.15
1,bus,16,tuesday,4.55,34.01
2,e-jeep,7,sunday,3.42,17.08
3,bus,13,thursday,0.52,2.04
2,jeepney,18,thursday,3.29,19.31
2,jeepney,22,sunday,6.43,14.73
1,bus,11,wednesday,1.82,7.76
2,bus,16,saturday,2.71,17.45
3,e-jeep,3,wednesday,3.01,7.27
3,jeepney,22,sunday,2.59,5.9
3,jeepney,4,wednesday,1.21,3.33
2,jeepney,22,tuesday,4.23,11.43
3,jeepney,12,thursday,1.73,5.64
3,bus,5,friday,1.58,5.23
2,jeepney,14,friday,0.71,2.42
2,jeepney,4,tuesday,6.58,16.33
3,bus,15,thursday,5.57,22.58
2,e-jeep,5,monday,4.65,10.66
2,jeepney,1,wednesday,2.03,5.6
3,e-jeep,23,sunday,6.2,12.84
3,jeepney,3,wednesday,6.27,15.9
3,e-jeep,1,sunday,5.84,12.1
1,e-jeep,23,sunday,5.33,11.59
2,jeepney,8,wednesday,6.94,45.04
1,jeepney,6,sunday,5.98,16.82
3,bus,20,thursday,1.58,6.71
1,jeepney,1,friday,3.0,8.29
1,bus,10,saturday,2.55,8.77
3,bus,3,tuesday,7.71,23.59
2,jeepney,20,tuesday,5.7,20.19
3,jeepney,10,sunday,2.21,6.07
2,e-jeep,4,friday,5.17,12.16
2,e-jeep,2,saturday,6.42,12.85
3,e-jeep,23,wednesday,5.65,12.79
2,e-jeep,10,friday,0.32,0.92
1,bus,23,thursday,5.19,16.1
3,jeepney,12,tuesday,7.75,24.56
2,e-jeep,10,sunday,2.48,6.42
3,jeepney,15,sunday,2.95,8.31
1,jeepney,3,saturday,6.34,14.8
1,jeepney,14,thursday,0.31,0.96
3,jeepney,4,saturday,2.62,5.73
1,e-jeep,20,wednesday,2.23,6.83
1,bus,1,thursday,5.12,15.81
2,jeepney,20,monday,5.72,20.72
1,e-jeep,4,friday,2.04,4.76
1,jeepney,22,wednesday,6.59,16.3
3,e-jeep,4,thursday,0.85,2.08
1,bus,3,wednesday,3.13,10.35
1,e-jeep,20,saturday,1.4,3.63
3,jeepney,20,tuesday,3.69,11.88
3,bus,4,thursday,5.04,16.28
1,jeepney,3,tuesday,6.09,16.01
2,e-jeep,13,wednesday,6.39,19.98
1,bus,7,friday,4.93,34.63
3,e-jeep,0,sunday,6.82,13.43
3,jeepney,19,friday,1.75,10.79
1,bus,7,thursday,3.27,24.81
3,bus,2,friday,7.14,24.78
2,e-jeep,4,thursday,6.93,16.45
3,e-jeep,21,tuesday,6.17,17.26
1,jeepney,18,monday,0.41,2.6
2,jeepney,16,wednesday,5.14,31.15
2,e-jeep,22,thursday,0.93,2.22
1,bus,8,monday,2.69,19.53
1,jeepney,17,wednesday,3.31,19.64
3,bus,20,monday,2.69,10.87
1,jeepney,7,monday,7.42,47.91
3,bus,1,wednesday,5.43,16.95
1,jeepney,0,saturday,1.36,3.42
2,e-jeep,16,friday,6.33,33.35
2,jeepney,4,saturday,6.31,15.19
1,jeepney,10,sunday,3.61,10.42
3,e-jeep,18,saturday,0.89,4.25
1,e-jeep,15,sunday,4.67,12.45
1,e-jeep,18,saturday,5.87,29.11
1,bus,1,sunday,6.94,20.13
2,e-jeep,12,tuesday,1.68,4.69
3,jeepney,22,saturday,5.35,12.98
2,jeepney,23,wednesday,2.39,6.83
1,e-jeep,16,saturday,7.24,36.2
1,bus,12,monday,7.05,26.64
2,e-jeep,2,friday,3.82,9.36
3,e-jeep,9,saturday,5.09,24.28
2,bus,6,saturday,7.23,24.14
1,jeepney,0,thursday,0.48,1.27
3,bus,0,wednesday,0.31,0.97
3,bus,9,monday,1.88,12.69
2,e-jeep,1,tuesday,5.78,14.84
3,jeepney,13,saturday,7.2,21.01
1,bus,18,monday,4.19,29.82
1,e-jeep,18,friday,0.78,4.15
1,jeepney,9,wednesday,6.85,38.87
3,e-jeep,23,wednesday,2.75,6.85
1,jeepney,4,sunday,6.23,15.41
1,jeepney,14,thursday,2.72,9.65
1,e-jeep,14,wednesday,3.87,10.99
1,jeepney,21,wednesday,6.66,21.52
1,jeepney,10,tuesday,1.0,3.47
2,e-jeep,16,monday,5.51,31.25
1,jeepney,12,sunday,3.78,10.54
1,jeepney,14,monday,6.49,22.96
1,jeepney,7,tuesday,1.83,11.27
3,bus,20,monday,4.78,19.89
1,jeepney,2,tuesday,7.25,19.51
1,jeepney,10,monday,0.63,2.11
3,jeepney,13,sunday,5.88,17.05
3,e-jeep,13,tuesday,3.03,8.53
2,e-jeep,14,tuesday,0.57,1.68
3,jeepney,9,thursday,3.47,20.86
1,jeepney,8,thursday,1.36,8.66
1,bus,20,sunday,4.49,16.92
3,e-jeep,11,thursday,4.49,13.5
3,bus,10,thursday,2.38,10.3
1,bus,0,sunday,6.29,18.83
3,e-jeep,11,sunday,4.8,13.08
1,jeepney,7,saturday,2.16,11.32
1,bus,7,friday,6.82,47.35
1,e-jeep,5,tuesday,4.86,11.12
2,bus,18,monday,5.72,42.61
3,bus,4,friday,7.6,23.08
3,e-jeep,9,tuesday,4.08,23.82
3,jeepney,7,monday,4.35,28.65
1,bus,4,wednesday,5.82,17.45
1,e-jeep,0,tuesday,4.82,10.84
3,jeepney,11,monday,3.18,9.9
3,e-jeep,3,wednesday,2.62,6.68
3,jeepney,13,sunday,5.22,15.16
1,e-jeep,22,friday,5.64,12.67
1,e-jeep,21,friday,6.57,20.1
3,bus,9,tuesday,1.67,13.2
3,bus,12,sunday,7.96,25.77
1,jeepney,19,wednesday,7.39,41.67
3,jeepney,18,monday,7.51,48.29
1,bus,7,wednesday,7.86,60.37
3,jeepney,21,saturday,5.92,17.62
2,jeepney,6,tuesday,5.64,19.26
3,jeepney,0,monday,3.27,8.41
2,jeepney,15,thursday,3.0,10.2
3,e-jeep,20,sunday,5.59,15.41
1,jeepney,9,monday,2.75,15.54
2,jeepney,5,thursday,1.54,4.41
2,jeepney,19,friday,7.18,42.14
3,e-jeep,5,friday,7.15,18.16
2,jeepney,6,tuesday,3.45,11.4
3,bus,8,saturday,2.47,16.31
2,jeepney,18,friday,6.77,43.44
1,e-jeep,13,monday,2.57,7.52
2,bus,6,monday,0.5,2.11
1,e-jeep,15,sunday,1.19,2.97
2,e-jeep,21,wednesday,1.0,2.98
2,jeepney,12,wednesday,1.74,6.26
2,e-jeep,8,tuesday,6.75,36.44
3,jeepney,21,monday,0.96,3.28
